time,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,acc_joint_1,acc_joint_2,acc_joint_3,acc_joint_4,acc_joint_5,acc_joint_6
0.0,1.0692498858715331,-1.6029583816499984,1.8091395973970774,-4.474072168929544e-05,1.3645504927221377,0.28655609647596175,0.011482411007845972,0.0021488665202240576,-0.0030543957533768484,-0.01769602541670992,0.005961000892118484,0.028575410814760116,-2.060141913874658,-0.3855742266231643,0.5480260891685407,3.174859357432091,-1.0695875872004934,-5.126815172224256
0.004,1.0692958155155645,-1.6029497861839175,1.809127379814064,-0.00011552482335613512,1.3645743367257062,0.2866703981192208,0.00324184335234734,0.0006065696137314003,-0.0008622913967026857,-0.004996587986981557,0.0016826505433165106,0.008068150125863094,-3.0871154221845387,-0.5777816652723089,0.8212151898223663,4.757515446868882,-1.6027733516464637,-7.682514388969961
0.008,1.069275820618352,-1.6029535290930885,1.8091326990659038,-8.471342558514789e-05,1.3645639539264842,0.28662064167696866,-0.013214512369630338,-0.0024733868019544136,0.003515325765202082,0.02036409815824114,-0.0068611859210532256,-0.03288470429699958,-4.10789403319789,-0.7688297545896394,1.0927564026083636,6.3306243577471655,-2.1327430577804116,-10.222796866981957
0.012,1.0691900994166075,-1.6029695732783331,1.8091555024201855,4.7387961909794004e-05,1.3645194472383377,0.2864073204848448,-0.029621308913235778,-0.005544068422985715,0.007879759824164223,0.045648406874995766,-0.015379293918926784,-0.07371422480999257,-4.095504238597891,-0.7665110559121335,1.0894606268692375,6.311530000630151,-2.126310941163306,-10.191963389513669
0.016,1.069038850147046,-1.6029978816404724,1.809195737144497,0.00028047382941481824,1.3644409195751328,0.2860309278784887,-0.04597854627841347,-0.008605475249251482,0.012231010780155982,0.07085633816328235,-0.023871673450359676,-0.11442041141310894,-4.083114444029118,-0.7641923572103415,1.086164851119703,6.292435643513147,-2.1198788245670173,-10.161129912045382
0.02,1.0688222710463802,-1.6030384170803271,1.8092533505064268,0.0006142386672160528,1.3643284738507349,0.2854919571935399,-0.06228622446546872,-0.011657607280668447,0.016569078633121848,0.09598789202310094,-0.032338324515462924,-0.15500326410635562,-4.070724649470753,-0.7618736585154884,1.0828690753666992,6.273341286396137,-2.1134467079776673,-10.130296434577094
0.024,1.0685405603513223,-1.6030911424987178,1.809328289773562,0.0010483769655996258,1.364182212979009,0.28479090176563787,-0.07854434347417949,-0.014700464517375389,0.020893963383089575,0.12104306845445145,-0.040779247114181016,-0.19546278288972568,-4.058334854874223,-0.759554959834513,1.079573299634512,6.254246929279119,-2.1070145913779093,-10.099462957108805
0.028,1.0681939162985867,-1.6031560207964661,1.8094205022134915,0.0015825832148516645,1.3640022398738214,0.2839282549304221,-0.09475290330446251,-0.01773404695934455,0.025205665030197943,0.1460218674573339,-0.0491944412464862,-0.23579896776322606,-4.045945060291572,-0.7572362611431294,1.076277523895386,6.235152572162124,-2.1005824747816204,-10.068629479640517
0.032,1.0677825371248866,-1.6032330148743925,1.8095299350938037,0.002216551905258297,1.3637886574490372,0.28290451002353206,-0.11091190395651207,-0.020758354606520424,0.029504183574252663,0.17092428903174844,-0.05758390691243398,-0.2760118187268498,-4.033555265726268,-0.7549175624586846,1.0729817481319737,6.2160582150451065,-2.0941503581783927,-10.037796002170495
0.036000000000000004,1.0673066210669346,-1.6033220876333183,1.8096565356820855,0.002949977527105652,1.363541568618522,0.2817201603806073,-0.12702134543027266,-0.023773387459014028,0.03378951901525373,0.19575033317769475,-0.06594764411191334,-0.31610133578059,-4.021165471150556,-0.7525988637707703,1.0696859723859087,6.196963857928034,-2.087718241578634,-10.006962524702207
