time,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,acc_joint_1,acc_joint_2,acc_joint_3,acc_joint_4,acc_joint_5,acc_joint_6
0.0,1.0692498858715331,-1.602958381649998,1.809139597397077,-4.474072168929727e-05,1.3645504927221377,0.2865560964759617,-0.20256945880442467,-0.0379129518414123,0.05388638109948829,0.3121764172907539,-0.10517096179296637,-0.504108218351354,1.690993271810659,0.3164867342780875,-0.44982846091751183,-2.605961552016339,0.8779378186038467,4.2081546276946655
0.004,1.0684396080363154,-1.6031100334573636,1.809355142921475,0.0012039649474737185,1.3641298088749658,0.2845396636025563,-0.19580548571718204,-0.03664700490429995,0.05208706725581824,0.30175257108268855,-0.10165921051855098,-0.48727559984057534,2.437392750260364,0.45618305200348375,-0.6483814263269494,-3.7562253500457787,1.2654570008888144,6.065621757630167
0.008,1.0676834419857957,-1.6032515576892323,1.8095562939351235,0.002369279846972211,1.3637372190379893,0.2826578916772371,-0.18307031680234176,-0.03426348742538443,0.048699329688872695,0.2821266144903877,-0.09504730578585585,-0.45558324429031266,2.9855979137884123,0.558785270939749,-0.794211861651628,-4.601055192117745,1.550076729108646,7.429868519742006
0.012,1.0669750455018967,-1.6033841413567667,1.809744737558986,0.00346097786339682,1.363369430428679,0.2808949976482338,-0.17192070240687474,-0.03217672273678196,0.04573337236260522,0.2649441295457466,-0.08925859668568181,-0.4278366516826393,2.5892092839450984,0.4845970733684257,-0.6887668014925186,-3.9901872802027767,1.344277820967965,6.443427784096414
0.016,1.0663080763665407,-1.6035089714711266,1.8099221609140244,0.004488832883338184,1.3630231502645038,0.279235198463776,-0.16235664253078097,-0.030386710838437025,0.043189195276932546,0.25020511624876546,-0.08429308321811213,-0.40403582201754135,2.1928206541087234,0.41040887577975527,-0.5833217413368785,-3.3793193682877845,1.1384789128342232,5.456987048454293
0.02,1.0656761923616505,-1.6036272350434742,1.8100902511212014,0.005462618793386944,1.362695085762934,0.27766271107209345,-0.15437813717400495,-0.028893451730543918,0.04106679843191019,0.2379095745994443,-0.08015076538300803,-0.38418075529500495,1.796432024275818,0.33622067819455426,-0.4778766811604218,-2.768451456372823,0.9326800047004813,4.4705463128078335
0.024,1.0650730512691486,-1.603740119084971,1.8102506953014796,0.006392109480133738,1.3623819441414398,0.27616175242141594,-0.14798518633657443,-0.02769694541288059,0.03936618182764917,0.22805750459778287,-0.07683164318050828,-0.3682714515150787,1.4000433944359736,0.26203248063016993,-0.3724316209978429,-2.157583544457817,0.7268810965493921,3.4841055771587732
0.028,1.0644923108709579,-1.6038488106067772,1.8104051805758226,0.007287078830169207,1.36208043261749,0.2747165394599728,-0.14317779001851716,-0.026797191885502558,0.03808734546392745,0.22064890624378178,-0.07433571661061289,-0.35630791067773476,1.0036547645961291,0.18784428304843837,-0.2669865608526112,-1.5467156325427827,0.5210821884156502,2.497664841515784
0.032,1.0639276289490005,-1.603954496620055,1.810555394065191,0.008157300730083993,1.3617872584085549,0.27331128913599406,-0.1399559482198054,-0.026194191148493084,0.03723028934082828,0.2156837795374406,-0.07266298567318308,-0.3482901327829524,0.6072661347597541,0.1136560854667068,-0.16154150067962392,-0.935847720627804,0.3152832802853778,1.5112241058693257
0.036000000000000004,1.0633726632851994,-1.6040583641359651,1.8107030228905492,0.009012549066468731,1.3614991287321045,0.2719302183977092,-0.13831966094043913,-0.025887943201768904,0.036795013458490455,0.21316212447875935,-0.07181345036832987,-0.34421811783078016,0.21087750491990964,0.0394678878745669,-0.05609644050663665,-0.32497980871287746,0.10948437214469697,0.5247833702228671
0.04,1.062821071661477,-1.604161600165669,1.810849754172859,0.009862597725914067,1.3612127508056082,0.2705575441933478,-0.13826892818044612,-0.02587844804549655,0.03678151781677519,0.2130839410677376,-0.0717871106960255,-0.34409186582116946,-0.18551112492340427,-0.034720309707164665,0.049348619652472836,0.28588810320213237,-0.09631453599251438,-0.461657365420122
0.044,1.0622665118597558,-1.6042653917203291,1.8109972750330834,0.010717220595010632,1.3609248318465363,0.26917748347113984,-0.13980374993982636,-0.02616570567942622,0.03718980241571024,0.2154492293043764,-0.07258396665626998,-0.34791137675414113,-0.5818997547597793,-0.1089085072646101,0.15479367981505177,0.8967560151171943,-0.30211344412972574,-1.4480981010665805
0.048,1.0617026416619584,-1.6043709258111045,1.8111472725921847,0.011586191560349079,1.360632079072358,0.2677742531793147,-0.14292412621852435,-0.02674971610361343,0.0380198672552956,0.22025798918867515,-0.07420401824906331,-0.3556766506297021,-0.978288384585746,-0.18309670485675,0.26023873998110014,1.507623927032041,-0.5079123522634676,-2.434538836710437
0.052000000000000005,1.0611231188500077,-1.604479389449158,1.8113014339711258,0.012479284508520034,1.3603311997005438,0.2663320702661022,-0.14763005701651233,-0.02763047931828022,0.03927171233555904,0.22751022072063273,-0.07664726547437772,-0.36738768744782463,-1.3746770144255904,-0.25728490244542046,0.36568380014367907,2.118491838947023,-0.713711260400679,-3.4209795723568956
0.056,1.0605216012058263,-1.6045919696456508,1.8114614462908691,0.01340627332611414,1.360018900948563,0.2648351516797321,-0.15392154233392907,-0.028807995323176794,0.040945337656445036,0.23720592390025133,-0.07991370833226874,-0.38304448720855727,-1.7710656442723738,-0.3314731000167437,0.4711288602993191,2.7293597508621645,-0.9195101685413598,-4.407420308005956
0.06,1.0598917465113362,-1.6047098534117434,1.8116289966723773,0.014376931899722044,1.3596918900338857,0.26326771436843377,-0.16179858217069132,-0.03028226411841417,0.04304074321795359,0.24934509872753005,-0.0840033468227086,-0.4026470499118723,-2.167454274108749,-0.40566129759847525,0.576573920461898,3.3402276627771155,-1.1253090766820406,-5.393861043649813
0.064,1.0592272125484608,-1.604834227758598,1.8118057722366128,0.015401034115934381,1.3593468741739814,0.2616139752804371,-0.17126117652679906,-0.032053285703964596,0.04555792902014022,0.26392774520246826,-0.08891618094572507,-0.4261953755577558,-2.563842903945124,-0.47984949517673736,0.6820189806348853,3.951095574692042,-1.331107984819252,-6.380301779293669
0.068,1.0585216570991218,-1.6049662796973752,1.8119934601045384,0.01648835386134179,1.3589805605863199,0.2598581513639717,-0.1823093254022523,-0.03412106007982807,0.048496895063032674,0.2809538633250664,-0.09465221070126262,-0.45368946414622163,-2.960231533781499,-0.5540376927619384,0.7874640408044031,4.561963486606972,-1.536906892946055,-7.366742514938393
0.07200000000000001,1.0577687379452427,-1.6051071962392367,1.812193747397117,0.017648665022534912,1.3585896564883713,0.25798445956726734,-0.19494302879705105,-0.0364855872460601,0.051857641346575445,0.30042345309532403,-0.1012114360892935,-0.4851293156772629,-3.356620163621343,-0.6282258903436699,0.8929091009635126,5.172831398521982,-1.742705801079797,-8.353183250584852
0.076,1.0569621128687454,-1.6052581643953436,1.812408321235311,0.018891741486104383,1.3581708690976055,0.2559771168385536,-0.20916228671122306,-0.03914686720257743,0.055640167870740775,0.32233651451324224,-0.10859385710990099,-0.5205149301509004,-3.7530087934611878,-0.702414087921932,0.9983541611226221,5.7836993104371235,-1.9485047092274166,-9.33962398623131
0.08,1.056095439651553,-1.6054203711768573,1.812638868740083,0.02022735713864085,1.357720905631492,0.25382034012606014,-0.22496709914474056,-0.04210489994943556,0.05984447463555642,0.346693047578821,-0.11679947376311284,-0.5598463075671134,-4.149397423297563,-0.7766022855001942,1.103799221285201,6.394567222351828,-2.154303617371567,-10.32606472187647
0.084,1.0551623760755875,-1.6055950035949391,1.8128870770323955,0.02166528586673495,1.3572364733075006,0.2514983463780167,-0.24235746609760356,-0.04535968548657898,0.06447056164102238,0.37349305229205687,-0.12582828604887353,-0.6031234479259122,-4.545786053133938,-0.8507904830819257,1.2092442814547189,7.00543513426681,-2.3601025255018393,-11.312505457522922
0.088,1.0541565799227721,-1.60578324866075,1.8131546332332111,0.023215301556977305,1.356714279343101,0.24899535254265284,-0.26133338756981206,-0.048911223814090965,0.06951842888719417,0.4027365286529555,-0.13568029396712755,-0.6503463512272968,-4.942174682973782,-0.9249786806636573,1.3146893416172978,7.616303046182229,-2.5659014336321118,-12.29894619316721
0.092,1.053071708975029,-1.6059862933854518,1.813443224463493,0.024887178095958595,1.3561510309557636,0.24629557556819834,-0.2818948635613938,-0.05275951493188824,0.07498807637396077,0.4344234766615147,-0.14635549751793042,-0.7015150174712499,-5.338563312810157,-0.99916687823845,1.4201344017729378,8.227170958097044,-2.771700341769323,-13.28538692881237
0.096,1.051901421014281,-1.606205324780205,1.8137545378442028,0.026690689370269423,1.3555434353629576,0.24338323240288284,-0.3040418940722933,-0.056904558839998565,0.08087950410137767,0.46855389631773187,-0.15785389670128214,-0.7566294466577957,-5.734951942646532,-1.0733550758201815,1.5255794619424556,8.838038870011971,-2.9774992499134734,-14.271827664458836
